geoid,num_lines,bstp_has_bkrs,shelter,bstp_bnh_cnt,school_stop,bstp_geo_id,st_abbrev,pm25,aadt,transit_comm,walk_comm,time_comm,car_alone_comm,carpool_comm,total_bike_lanes,bikelane_protected,bikelane_dual_protected,shared_mobility,taxi_capacity,limo_capacity,restrict1,restrict2,local_deliv,density_score,four_way_intersection_ratio,sidewalk_score,pfi_score,name,poverty_est,race_white,race_black_aa,race_asian,race_hispanic,utc_pct
11001002102,0,0.052631578947368425,0.05263157894736844,0.8421052631578947,0,19,DC,8.64905616438356,5742.028773204652,519,58,38.1,1226,252,36,0,0,2,0,0,3,3,3,0.943609873220339,0.18472443050847456,0.07426620457627119,1.3202707750847458,"Census Tract 21.02, District of Columbia, District of Columbia",13.3,673,3795,38,15.3,25.886111111111113
11001002201,0,0,0.2222222222222222,1,0,9,DC,8.66164109589041,4698.937601248707,233,11,33.4,610,223,26,0,0,0,0,0,0,0,0,1.0088134722222222,0.42022874833333335,0.0772,1.4425375616666667,"Census Tract 22.01, District of Columbia, District of Columbia",1.3,630,1982,66,11.2,30.562121212121212
11001002202,0,0,0.125,1,0,8,DC,8.65667589041096,4811.146577613299,562,9,33.4,889,51,10,0,0,0,0,0,0,0,0,0.7535187611538462,0.2731143076923077,0.0759224026923077,1.1505348442307692,"Census Tract 22.02, District of Columbia, District of Columbia",12.1,350,2111,63,25.7,26.105833333333333
11001002301,0,0,0,0.9411764705882353,0,17,DC,8.65630739726027,3578.7516702485327,492,10,34.7,641,88,50,0.030303030303030325,0,1,0,0,0,0,0,0.7648895494594594,0.20049851648648648,0.07622094837837838,1.165476871891892,"Census Tract 23.01, District of Columbia, District of Columbia",4.2,955,1965,78,17,32.1296875
11001002302,0,0.07692307692307694,0.07692307692307693,0.6923076923076923,0,13,DC,8.65347479452055,4003.338782123059,221,24,27.6,297,43,30,0.2105263157894737,0.5789473684210527,0,0,0,0,0,0,0.3504778896551724,0.06235090310344828,0.044705252068965515,0.44848746,"Census Tract 23.02, District of Columbia, District of Columbia",11.5,700,764,67,4.3,24.81222222222222
11001002400,2,0,0.2,0.96,0,25,DC,8.6573898630137,5079.1162472538645,844,70,33.6,640,224,66,0.39999999999999997,0,2,0,0,0,0,0,0.8789182608695651,0.3669600458695652,0.0772,1.3048541054347826,"Census Tract 24, District of Columbia, District of Columbia",1.3,1505,2017,91,17.9,26.562941176470588
11001002501,0,0,0.45454545454545453,1,0,11,DC,8.66431561643836,6863.839339763444,337,13,29.3,475,279,27,0.07142857142857144,0,1,0,0,0,0,0,0.6641985403571429,0.20691975178571428,0.07474973285714286,1.0251726089285715,"Census Tract 25.01, District of Columbia, District of Columbia",14,945,1420,54,28.2,29.04769230769231
11001002503,0,0.5,0,0.5,0,4,DC,8.66492164383562,5325.830802485504,559,74,30.2,466,174,2,0,0,0,0,0,0,0,0,0.627416655625,0.292529263125,0.0772,1.02420573125,0,0,0,0,0,0,21.910588235294117
11001002504,0,0,0.2222222222222222,1,0,9,DC,8.66492164383562,4710.317702642185,674,18,32.6,469,147,16,0,0,2,0,0,0,0,0,0.4784399618181818,0.18012568,0.07202122363636364,0.7888610745454545,0,0,0,0,0,0,24.825
11001002600,0,0,0.33333333333333337,1,0,9,DC,8.66223287671233,4387.520406126183,354,9,30.6,589,98,0,0,0,0,0,0,7,7,7,0.4467666324489796,0.25186928142857146,0.03456952693877551,0.4555478697959184,"Census Tract 26, District of Columbia, District of Columbia",1.3,1339,845,145,7.9,61.1832
